prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
301,498659.34,508115.13,517318.56,526920.31,537242.63,546625.63,556320.5,567725.75,577859.25,589562.38,599886.38,614411.0,626420.5,637494.5,650430.63,661788.38,673213.69,685848.81,698673.0,711325.13
302,37224.8065,37005.3687,36830.8527,36705.6336,36695.1173,36597.2347,36414.3845,36345.912,36347.2289,36291.883,36329.0725,36616.014299999995,36331.196299999996,36234.242,36096.3191,36388.5826,36517.2406,36498.914600000004,36601.0321,36604.9859
303,61229.068,60518.666000000005,59942.385,59392.710999999996,58811.065,58099.244,57652.479999999996,57030.043,56486.426,55816.921,55415.072,55114.59,54429.437000000005,54185.525,53318.791,52911.692,52771.325,52243.616,51865.604999999996,51364.736000000004
304,32565.4155,32729.0992,33023.5893,33244.4999,33766.918000000005,34085.5469,34525.5273,34999.2676,35610.3779,36149.6087,36801.1199,37462.288,38037.8592,38811.6582,39455.9452,40511.4348,41592.655099999996,42561.0775,43719.7006,44916.27559999999
305,23470.510000000002,23098.88,22435.118,21845.688000000002,21433.073,20930.067,20426.487,20066.1403,19659.2582,19247.5196,18821.5684,18384.600599999998,18059.6504,17674.519500000002,17201.6792,16818.6021,16437.5494,16064.4727,15722.5478,15392.365300000001
306,23109.114,22844.082000000002,22596.389000000003,22486.775999999998,22151.968,22021.525,21762.951999999997,21596.041,21356.879,21189.806,20890.537,20449.682999999997,20244.665,20117.2606,19917.261599999998,19662.5234,19482.9551,19211.1621,19021.730499999998,18813.6426
307,25992.195499999998,26310.941,26585.968399999998,26784.817400000004,27292.9363,27522.457199999997,27930.6337,28274.6802,28844.5816,29070.5817,29565.037,29740.8894,30069.893799999998,30545.959000000003,30921.0253,31428.4048,31937.3649,32416.62,32879.284700000004,33382.1647
308,30315.4568,30685.6106,30896.1357,31310.132100000003,31226.067900000002,31594.088399999997,31978.106,32203.9436,32538.3874,32889.863,33086.3799,33548.115000000005,34008.0208,34278.2394,34653.6747,34761.596699999995,35005.3984,35418.534199999995,35750.2073,36084.256
309,256135.338,263244.701,271157.619,278805.05,285620.973,294515.243,302551.979,310673.891,319893.803,328413.363,337578.48199999996,345272.716,354558.39,364887.616,374885.289,385926.103,397510.389,409349.81200000003,421089.631,433424.91799999995
310,194909.014,200501.29700000002,206264.35700000002,212348.362,218907.87099999998,225282.286,232477.865,239173.266,245653.02,252896.46500000003,261724.46200000003,268185.757,276944.097,285150.365,294095.594,303549.374,313471.026,322682.05,333017.595,343815.868
