idx,varname,varlabel
257,gisa2017,Global Impervious Surface area by pixel in 2017
258,gisa2018,Global Impervious Surface area by pixel in 2018
259,gisa2019,Global Impervious Surface area by pixel in 2019
260,travelTimeCity2016mean,mean distance to major city in minutes in 2016
261,travelTimeCity2016max,max distance to major city in minutes in 2016
262,travelTimeCity2016min,min distance to major city in minutes in 2016
263,map_pf_incidence_rate.2012.max,max malaria rate per 1000 people in 2012
264,map_pf_incidence_rate.2013.max,max malaria rate per 1000 people in 2013
265,map_pf_incidence_rate.2014.max,max malaria rate per 1000 people in 2014
266,map_pf_incidence_rate.2015.max,max malaria rate per 1000 people in 2015
267,map_pf_incidence_rate.2016.max,max malaria rate per 1000 people in 2016
268,map_pf_incidence_rate.2017.max,max malaria rate per 1000 people in 2017
269,map_pf_incidence_rate.2018.max,max malaria rate per 1000 people in 2018
270,map_pf_incidence_rate.2019.max,max malaria rate per 1000 people in 2019
271,map_pf_incidence_rate.2012.mean,mean malaria rate per 1000 people in 2012
272,map_pf_incidence_rate.2013.mean,mean malaria rate per 1000 people in 2013
273,map_pf_incidence_rate.2014.mean,mean malaria rate per 1000 people in 2014
274,map_pf_incidence_rate.2015.mean,mean malaria rate per 1000 people in 2015
275,map_pf_incidence_rate.2016.mean,mean malaria rate per 1000 people in 2016
276,map_pf_incidence_rate.2017.mean,mean malaria rate per 1000 people in 2017
277,map_pf_incidence_rate.2018.mean,mean malaria rate per 1000 people in 2018
278,map_pf_incidence_rate.2019.mean,mean malaria rate per 1000 people in 2019
279,map_pf_incidence_rate.2012.min,min malaria rate per 1000 people in 2012
280,map_pf_incidence_rate.2013.min,min malaria rate per 1000 people in 2013
281,map_pf_incidence_rate.2014.min,min malaria rate per 1000 people in 2014
282,map_pf_incidence_rate.2015.min,min malaria rate per 1000 people in 2015
283,map_pf_incidence_rate.2016.min,min malaria rate per 1000 people in 2016
284,map_pf_incidence_rate.2017.min,min malaria rate per 1000 people in 2017
285,map_pf_incidence_rate.2018.min,min malaria rate per 1000 people in 2018
286,map_pf_incidence_rate.2019.min,min malaria rate per 1000 people in 2019
287,cru_ts_405_pre_yearly_mean.2012.min,min precipitation in millimeters in 2012
288,cru_ts_405_pre_yearly_mean.2012.mean,mean precipitation in millimeters in 2012
289,cru_ts_405_pre_yearly_mean.2012.max,max precipitation in millimeters in 2012
290,cru_ts_405_pre_yearly_mean.2013.min,min precipitation in millimeters in 2013
291,cru_ts_405_pre_yearly_mean.2013.mean,mean precipitation in millimeters in 2013
292,cru_ts_405_pre_yearly_mean.2013.max,max precipitation in millimeters in 2013
293,cru_ts_405_pre_yearly_mean.2014.min,min precipitation in millimeters in 2014
294,cru_ts_405_pre_yearly_mean.2014.mean,mean precipitation in millimeters in 2014
295,cru_ts_405_pre_yearly_mean.2014.max,max precipitation in millimeters in 2014
296,cru_ts_405_pre_yearly_mean.2015.min,min precipitation in millimeters in 2015
297,cru_ts_405_pre_yearly_mean.2015.mean,mean precipitation in millimeters in 2015
298,cru_ts_405_pre_yearly_mean.2015.max,max precipitation in millimeters in 2015
299,cru_ts_405_pre_yearly_mean.2016.min,min precipitation in millimeters in 2016
300,cru_ts_405_pre_yearly_mean.2016.mean,mean precipitation in millimeters in 2016
301,cru_ts_405_pre_yearly_mean.2016.max,max precipitation in millimeters in 2016
302,cru_ts_405_pre_yearly_mean.2017.min,min precipitation in millimeters in 2017
303,cru_ts_405_pre_yearly_mean.2017.mean,mean precipitation in millimeters in 2017
304,cru_ts_405_pre_yearly_mean.2017.max,max precipitation in millimeters in 2017
305,cru_ts_405_pre_yearly_mean.2018.min,min precipitation in millimeters in 2018
306,cru_ts_405_pre_yearly_mean.2018.mean,mean precipitation in millimeters in 2018
