prov_id,prov,capital,dep,dep_id,dep_prov,n_mun,gadm_name,sources
507,Alonso de Ibáñez,Sacaca,Potosí,7,Potosí-Alonso de Ibáñez,2,Alonso de Ibáñez,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Provincia_de_Alonso_de_Ib%C3%A1%C3%B1ez ; https://www.wikidata.org/wiki/Q238079
508,Sud Chichas,Tupiza,Potosí,7,Potosí-Sud Chichas,2,Sur Chichas,https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi ; https://www.wikidata.org/wiki/Q238079
509,Nor Lípez,Colcha K,Potosí,7,Potosí-Nor Lípez,2,Nor Lipez,https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi ; https://www.wikidata.org/wiki/Q238079
510,Sud Lípez,San Pablo de Lípez,Potosí,7,Potosí-Sud Lípez,3,Sur Lipez,https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi ; https://www.wikidata.org/wiki/Q238079
511,José María Linares,Puna,Potosí,7,Potosí-José María Linares,3,José María Linares,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://www.educa.com.bo/content/departamento-de-potosi ; https://www.wikidata.org/wiki/Q238079
512,Antonio Quijarro,Uyuni,Potosí,7,Potosí-Antonio Quijarro,3,Antonio Quijarro,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://www.educa.com.bo/content/departamento-de-potosi ; https://www.wikidata.org/wiki/Q238079
513,Bilbao,Arampampa,Potosí,7,Potosí-Bilbao,2,General Bilbao,https://es.wikipedia.org/wiki/Provincia_de_Bilbao ; https://www.wikidata.org/wiki/Q238079 ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia
514,Daniel Campos,Llica,Potosí,7,Potosí-Daniel Campos,2,Daniel Campos,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.wikidata.org/wiki/Q238079
515,Modesto Omiste,Villazón,Potosí,7,Potosí-Modesto Omiste,1,Modesto Omiste,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.educa.com.bo/content/departamento-de-potosi
516,Enrique Baldivieso,San Agustín,Potosí,7,Potosí-Enrique Baldivieso,1,Enrique Baldivieso,https://es.wikipedia.org/wiki/Departamento_de_Potos%C3%AD ; https://es.wikipedia.org/wiki/Anexo:Provincias_de_Bolivia ; https://www.wikidata.org/wiki/Q238079
601,Cercado,Tarija,Tarija,9,Tarija-Cercado,1,Cercado,https://es.wikipedia.org/wiki/Provincia_de_Cercado_(Tarija) ; https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Tarija ; https://www.educa.com.bo/content/departamento-de-tarija
602,Arce,Padcaya,Tarija,9,Tarija-Arce,2,Arce,https://es.wikipedia.org/wiki/Provincia_de_Arce ; https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Tarija ; https://www.educa.com.bo/content/departamento-de-tarija
603,Gran Chaco,Yacuiba,Tarija,9,Tarija-Gran Chaco,3,Gran Chaco,https://es.wikipedia.org/wiki/Provincia_del_Gran_Chaco ; https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Tarija ; https://www.educa.com.bo/content/departamento-de-tarija
604,Avilés,Uriondo,Tarija,9,Tarija-Avilés,2,Avilés,https://es.wikipedia.org/wiki/Provincia_de_Jos%C3%A9_Mar%C3%ADa_Avil%C3%A9s ; https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Tarija ; https://www.educa.com.bo/content/departamento-de-tarija
605,Méndez,San Lorenzo,Tarija,9,Tarija-Méndez,2,Guarayos,https://es.wikipedia.org/wiki/Provincia_de_M%C3%A9ndez ; https://es.wikipedia.org/wiki/Categor%C3%ADa:Provincias_del_departamento_de_Tarija ; https://www.educa.com.bo/content/departamento-de-tarija
