prov_id,prov,dep,dep_id,gdppc1990,gdppc1991,gdppc1992,gdppc1993,gdppc1994,gdppc1995,gdppc1996,gdppc1997,gdppc1998,gdppc1999,gdppc2000,gdppc2001,gdppc2002,gdppc2003,gdppc2004,gdppc2005,gdppc2006,gdppc2007,gdppc2008,gdppc2009,gdppc2010,gdppc2011,gdppc2012,gdppc2013,gdppc2014,gdppc2015,gdppc2016,gdppc2017,gdppc2018,gdppc2019,gdppc2020,gdppc2021,gdppc2022,gdppc2023,gdppc2024
411,Tomás Barrón,Oruro,5,1910.0,2133.0,2273.0,2435.0,2785.0,2827.0,3019.0,3479.0,3756.0,4132.0,4424.0,4374.0,5804.0,5748.0,5739.0,6403.0,6514.0,5275.0,5481.0,5868.0,5951.0,4185.0,3962.0,4475.0,4761.0,4724.0,5090.0,5500.0,5944.0,6070.0,5855.0,6683.0,7585.0,7992.0,6784.0
412,Sud Carangas,Oruro,5,1885.0,2085.0,2114.0,2252.0,2680.0,2834.0,3088.0,3506.0,3780.0,3740.0,3828.0,3831.0,3929.0,4137.0,4041.0,4217.0,4388.0,4361.0,5046.0,5192.0,5172.0,3519.0,3427.0,3868.0,4188.0,4094.0,4410.0,4656.0,5023.0,5191.0,4931.0,5571.0,6111.0,6591.0,5575.0
413,San Pedro de Totora,Oruro,5,1878.0,2025.0,2067.0,2262.0,2623.0,2860.0,3051.0,3552.0,3744.0,3765.0,3801.0,3784.0,4142.0,4111.0,3975.0,4394.0,4518.0,4502.0,5416.0,5477.0,5582.0,3466.0,3501.0,3989.0,4251.0,4123.0,4423.0,4833.0,5563.0,5722.0,5112.0,5869.0,6589.0,6959.0,5610.0
414,Sebastián Pagador,Oruro,5,1973.0,2226.0,2268.0,2530.0,2884.0,3157.0,3324.0,3776.0,4012.0,4000.0,4012.0,4222.0,4483.0,4481.0,4284.0,4453.0,4596.0,4600.0,5259.0,5602.0,5907.0,3780.0,3902.0,4371.0,4797.0,4738.0,4953.0,5066.0,5207.0,5456.0,5361.0,5967.0,6628.0,6793.0,6938.0
415,Mejillones,Oruro,5,2496.0,2793.0,2857.0,3046.0,3581.0,3802.0,4071.0,4687.0,4952.0,4926.0,4886.0,5055.0,5170.0,5411.0,4183.0,4416.0,4535.0,4522.0,5037.0,5170.0,5216.0,3488.0,3485.0,3850.0,4165.0,4237.0,4479.0,4712.0,5201.0,5464.0,5089.0,5749.0,6364.0,6701.0,5875.0
416,Nor Carangas,Oruro,5,2021.0,2200.0,2276.0,2479.0,2797.0,3000.0,3361.0,3685.0,3967.0,4159.0,4067.0,4076.0,4626.0,5081.0,4809.0,5087.0,5173.0,5013.0,5998.0,6016.0,6364.0,4213.0,4138.0,4814.0,5242.0,5157.0,5505.0,6310.0,6792.0,7175.0,6618.0,7728.0,8551.0,9001.0,7745.0
501,Tomás Frías,Potosí,7,1924.0,1935.0,2002.0,2213.0,2020.0,2048.0,2239.0,2161.0,2145.0,2323.0,2405.0,2473.0,2608.0,2767.0,2924.0,3187.0,3455.0,3971.0,5004.0,5510.0,5500.0,4295.0,4529.0,5180.0,6063.0,5917.0,5939.0,6589.0,6930.0,7327.0,6808.0,7665.0,8422.0,8608.0,8147.0
502,Rafael Bustillo,Potosí,7,1107.0,1122.0,1201.0,1247.0,1129.0,1138.0,1246.0,1406.0,1445.0,1527.0,1410.0,1645.0,1858.0,1945.0,2062.0,2216.0,2428.0,2675.0,3206.0,3060.0,3033.0,2779.0,2926.0,3205.0,3653.0,4179.0,4406.0,4311.0,5518.0,6165.0,4867.0,5828.0,6371.0,6789.0,6230.0
503,Cornelio Saavedra,Potosí,7,1093.0,1327.0,1330.0,1302.0,1173.0,1182.0,1225.0,1227.0,1084.0,1117.0,1654.0,1167.0,1224.0,1319.0,1343.0,1505.0,1635.0,1920.0,2206.0,2214.0,2289.0,2011.0,2906.0,3087.0,3531.0,3655.0,2868.0,3863.0,3474.0,3323.0,3101.0,3490.0,3874.0,3416.0,4396.0
504,Chayanta,Potosí,7,1094.0,1174.0,1231.0,1266.0,1849.0,2100.0,2266.0,2087.0,2154.0,2348.0,2610.0,2630.0,2768.0,2944.0,3005.0,2961.0,3181.0,3374.0,4317.0,4904.0,4936.0,3625.0,3810.0,4498.0,2105.0,2397.0,2572.0,4783.0,5421.0,5055.0,4359.0,4676.0,5032.0,6299.0,6784.0
