poly_id,asdf_id,mun,mun_id,dep,dep_id,prov_id,prov,dep_mun,dep_prov_mun,shapeID
272,259,Cabezas,70703,Santa Cruz,8,707,Cordillera,Santa Cruz-Cabezas,Santa Cruz-Cordillera-Cabezas,BOL-ADM3-33444609B3158247
251,260,Cotoca,70102,Santa Cruz,8,701,Andrés Ibáñez,Santa Cruz-Cotoca,Santa Cruz-Andrés Ibáñez-Cotoca,BOL-ADM3-33444609B36360155
262,261,Yapacaní,70403,Santa Cruz,8,704,Ichilo,Santa Cruz-Yapacaní,Santa Cruz-Ichilo-Yapacaní,BOL-ADM3-33444609B82294182
296,262,Cuatro Cañadas,71106,Santa Cruz,8,711,Ñuflo de Chávez,Santa Cruz-Cuatro Cañadas,Santa Cruz-Ñuflo de Chávez-Cuatro Cañadas,BOL-ADM3-33444609B81436946
293,263,San Ramón,71103,Santa Cruz,8,711,Ñuflo de Chávez,Santa Cruz-San Ramón,Santa Cruz-Ñuflo de Chávez-San Ramón,BOL-ADM3-33444609B34841445
307,264,San Javier,80102,Beni,1,801,Cercado,Beni-San Javier,Beni-Cercado-San Javier,BOL-ADM3-33444609B57224915
258,265,San Miguel de Velasco,70302,Santa Cruz,8,703,Velasco,Santa Cruz-San Miguel de Velasco,Santa Cruz-Velasco-San Miguel de Velasco,BOL-ADM3-33444609B78704867
145,266,Villa Tunari,31003,Cochabamba,3,310,Chapare,Cochabamba-Villa Tunari,Cochabamba-Chapare-Villa Tunari,BOL-ADM3-33444609B25395901
150,267,Chimoré,31204,Cochabamba,3,312,Carrasco,Cochabamba-Chimoré,Cochabamba-Carrasco-Chimoré,BOL-ADM3-33444609B24552917
162,268,Tiraque,31601,Cochabamba,3,316,Tiraque,Cochabamba-Tiraque,Cochabamba-Tiraque-Tiraque,BOL-ADM3-33444609B18430420
163,269,Shinahota,31602,Cochabamba,3,316,Tiraque,Cochabamba-Shinahota,Cochabamba-Tiraque-Shinahota,BOL-ADM3-33444609B95602913
286,270,Montero,71001,Santa Cruz,8,710,Obispo Santistevan,Santa Cruz-Montero,Santa Cruz-Obispo Santistevan-Montero,BOL-ADM3-33444609B71154134
303,271,Ascensión de Guarayos,71501,Santa Cruz,8,715,Guarayos,Santa Cruz-Ascensión de Guarayos,Santa Cruz-Guarayos-Ascensión de Guarayos,BOL-ADM3-33444609B46709169
318,272,San Andrés,80602,Beni,1,806,Marbán,Beni-San Andrés,Beni-Marbán-San Andrés,BOL-ADM3-33444609B55665100
129,273,Vacas,30502,Cochabamba,3,305,Arani,Cochabamba-Vacas,Cochabamba-Arani-Vacas,BOL-ADM3-33444609B36270672
149,274,Pocona,31203,Cochabamba,3,312,Carrasco,Cochabamba-Pocona,Cochabamba-Carrasco-Pocona,BOL-ADM3-33444609B99795676
256,275,Okinawa Uno,70202,Santa Cruz,8,702,Warnes,Santa Cruz-Okinawa Uno,Santa Cruz-Warnes-Okinawa Uno,BOL-ADM3-33444609B439401
255,276,Warnes,70201,Santa Cruz,8,702,Warnes,Santa Cruz-Warnes,Santa Cruz-Warnes-Warnes,BOL-ADM3-33444609B11056664
287,277,Gral. Saavedra,71002,Santa Cruz,8,710,Obispo Santistevan,Santa Cruz-Gral. Saavedra,Santa Cruz-Obispo Santistevan-Gral. Saavedra,BOL-ADM3-33444609B54301679
265,278,Pailón,70502,Santa Cruz,8,705,Chiquitos,Santa Cruz-Pailón,Santa Cruz-Chiquitos-Pailón,BOL-ADM3-33444609B10251116
289,279,Fernández Alonso,71004,Santa Cruz,8,710,Obispo Santistevan,Santa Cruz-Fernández Alonso,Santa Cruz-Obispo Santistevan-Fernández Alonso,BOL-ADM3-33444609B49773042
288,280,Mineros,71003,Santa Cruz,8,710,Obispo Santistevan,Santa Cruz-Mineros,Santa Cruz-Obispo Santistevan-Mineros,BOL-ADM3-33444609B82751741
283,281,Pampa Grande,70902,Santa Cruz,8,709,Florida,Santa Cruz-Pampa Grande,Santa Cruz-Florida-Pampa Grande,BOL-ADM3-33444609B58335505
284,282,Mairana,70903,Santa Cruz,8,709,Florida,Santa Cruz-Mairana,Santa Cruz-Florida-Mairana,BOL-ADM3-33444609B78053551
151,283,Puerto Villarroel,31205,Cochabamba,3,312,Carrasco,Cochabamba-Puerto Villarroel,Cochabamba-Carrasco-Puerto Villarroel,BOL-ADM3-33444609B66013257
269,284,Colpa Belgica,70603,Santa Cruz,8,706,Sara,Santa Cruz-Colpa Belgica,Santa Cruz-Sara-Colpa Belgica,BOL-ADM3-33444609B84075203
300,285,Puerto Suárez,71401,Santa Cruz,8,714,Germán Busch,Santa Cruz-Puerto Suárez,Santa Cruz-Germán Busch-Puerto Suárez,BOL-ADM3-33444609B58337466
302,286,Carmen Rivero Tórrez,71403,Santa Cruz,8,714,Germán Busch,Santa Cruz-Carmen Rivero Tórrez,Santa Cruz-Germán Busch-Carmen Rivero Tórrez,BOL-ADM3-33444609B52930702
266,287,Roboré,70503,Santa Cruz,8,705,Chiquitos,Santa Cruz-Roboré,Santa Cruz-Chiquitos-Roboré,BOL-ADM3-33444609B32568642
297,288,San Matías,71201,Santa Cruz,8,712,Ángel Sandoval,Santa Cruz-San Matías,Santa Cruz-Ángel Sandoval-San Matías,BOL-ADM3-33444609B83253902
271,289,Charagua,70702,Santa Cruz,8,707,Cordillera,Santa Cruz-Charagua,Santa Cruz-Cordillera-Charagua,BOL-ADM3-33444609B85273692
264,290,San José de Chiquitos,70501,Santa Cruz,8,705,Chiquitos,Santa Cruz-San José de Chiquitos,Santa Cruz-Chiquitos-San José de Chiquitos,BOL-ADM3-33444609B21156081
259,291,San Rafael,70303,Santa Cruz,8,703,Velasco,Santa Cruz-San Rafael,Santa Cruz-Velasco-San Rafael,BOL-ADM3-33444609B61104849
121,292,Independencia,30301,Cochabamba,3,303,Ayopaya,Cochabamba-Independencia,Cochabamba-Ayopaya-Independencia,BOL-ADM3-33444609B74694029
257,293,San Ignacio de Velasco,70301,Santa Cruz,8,703,Velasco,Santa Cruz-San Ignacio de Velasco,Santa Cruz-Velasco-San Ignacio de Velasco,BOL-ADM3-33444609B38230040
304,294,Urubichá,71502,Santa Cruz,8,715,Guarayos,Santa Cruz-Urubichá,Santa Cruz-Guarayos-Urubichá,BOL-ADM3-33444609B93004293
323,295,Baures,80802,Beni,1,808,Iténez,Beni-Baures,Beni-Iténez-Baures,BOL-ADM3-33444609B21187437
306,296,Trinidad,80101,Beni,1,801,Cercado,Beni-Trinidad,Beni-Cercado-Trinidad,BOL-ADM3-33444609B59063344
295,297,San Antonio de Lomerío,71105,Santa Cruz,8,711,Ñuflo de Chávez,Santa Cruz-San Antonio de Lomerío,Santa Cruz-Ñuflo de Chávez-San Antonio de Lomerío,BOL-ADM3-33444609B54102559
148,298,Pojo,31202,Cochabamba,3,312,Carrasco,Cochabamba-Pojo,Cochabamba-Carrasco-Pojo,BOL-ADM3-33444609B66575543
152,299,Entre Ríos,31206,Cochabamba,3,312,Carrasco,Cochabamba-Entre Ríos,Cochabamba-Carrasco-Entre Ríos,BOL-ADM3-33444609B6351519
